;Zeitstempel;Wie alt sind Sie?;In welchem Gebiet leben Sie aktuell (in etwa)?;Aus welchem Gebiet stammen Sie (in etwa)?;acheln;Aschpes;baldowern;beganneft;Boker;dibbern / diwwern;Goi;kapores;lau;lugen / louen ;malochen;Reibach / Rebbes;schaskeln;Schawwes;schicker / beschickert;Schmu;Schores;Stuss;Toches / Dokes;tof;weisen ;Zores;Woher kennen Sie die Wörter? (Mehrfachnennung möglich);Wussten Sie, dass diese Wörter aus dem Jiddischen stammen?
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/12 12:54:09 PM OEZ;50 - 70 Jahre;Wittlich;Wittlich;0;0;9;0;0;0;0;0;0;Schauen ;2;2;0;0;2 ;21;0;2 ;5;0;Etwas zeigen ;5 ;"3;1;2";bei wenigen
;2020/09/12 4:16:02 PM OEZ;50 - 70 Jahre;Wittlich;Wittlich;0;0;2;0;0;0;0;0;3;schauen;2;2;0;0;2;9;0;2 ;0;0;zeigen;27;3;bei wenigen
;2020/09/12 11:21:45 PM OEZ;50 - 70 Jahre;Wittlich;Wittlich;0;0;1;0;0;0;0;1;1;;2;17;0;0;2;0;0;2;0;0;Zeigen;0;"3;1;2";bei wenigen
;2020/09/13 11:46:08 AM OEZ;50 - 70 Jahre;Wittlich;Wittlich;2;0;18;0;0;21;0;3, 6;3;;2;15;0;0; 2 ;6;0;2;0;0;Zeigen;3;"3;1";bei wenigen
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/07 9:01:35 PM OEZ;50 - 70 Jahre;Saarlouis;Wittlich;0;0;1;0;0;0;0;0;2, 3;Schauen;2;2 ;0;0;2 ;25;0;2;0;0;;6;"3;2";bei keinen
anderes moselfränkisches Sprachgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/13 1:04:01 PM OEZ;50 - 70 Jahre;anderes moselfränkisches Sprachgebiet;Wittlich;2;0;2;0;0;0;0;3;16;Gucken;2;2;0;0;2 ;1;0;2 ;1 ;0;Zeigen;3, 6;1;bei vielen
Trier;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/07 3:50:07 PM OEZ;15 - 30 Jahre;Trier;Wittlich;0;0;2;0;0;0;0;0;0;;2;0;0;0;0;0;0;0;0;0;;0;"3;1;2";bei keinen
;2020/09/13 3:44:42 AM OEZ;70 - 90 Jahre;Trier;Wittlich;0;0;0;0;0;0;0;0;2;;2;2;0;0;4 ;1;0;2 ;0;0;zeigen ;1;2;bei keinen
;2020/09/08 7:18:52 PM OEZ;30 - 50 Jahre;Trier;Wittlich;0;0;0;0;0;0;0;0;0;;2;2 ;0;0;0;0;0;2 ;0;0;zeigen;11;"3;2";bei manchen
;2020/09/13 8:35:39 AM OEZ;30 - 50 Jahre;Trier;Wittlich;0;0;32;0;0;0;0;0;16;;2;17;0;0;0;1;0;2;0;0;;3;"3;1;2";bei manchen
;2020/09/11 5:07:45 PM OEZ;50 - 70 Jahre;Trier;Wittlich;0;0;5;0;0;0;0;3, 6;2;Herausragen;2;2;0;0;2;8;1;2;2;0;Zeigen;5;"3;1";bei manchen
;2020/09/11 10:02:06 PM OEZ;30 - 50 Jahre;Trier;Wittlich;0;0;0;0;0;0;0;0;0;Gucken;2;1;0;0;2 ;2, 2 ;0;2 ;2;0;;3 ;"3;1";bei vielen
;2020/09/11 4:30:27 PM OEZ;15 - 30 Jahre;Trier;Wittlich;0;0;0;0;0;0;0;0;1;;1;1;0;0;0;1;0;1;0;0;;1;"1;2";bei wenigen
Bitburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trier;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/08 10:12:55 AM OEZ;50 - 70 Jahre;Trier;Bitburg;0;0;1;0;0;0;0;0;6;;2;1;0;0;0;1;0;2 ;0;0;zeigen;5 ;"1;aus dem Eifler und Trierer Dialekt ";bei keinen
;2020/09/07 1:37:19 PM OEZ;30 - 50 Jahre;Trier;Bitburg;0;0;1;0;0;0;0;0;1;;1 ;1;0;0;1 ;1;0;1;0;0;1;1;"3;1;2";bei manchen
;2020/09/07 5:45:10 PM OEZ;30 - 50 Jahre;Trier;Bitburg;0;0;31;0;0;0;3;0;0;;2;2;0;3;2;2;0;2;0;0;;3;"3;1;2";bei wenigen
Bitburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/08 10:24:02 AM OEZ;15 - 30 Jahre;Bitburg;Bitburg;0;0;0;0;0;0;0;0;2;;2;0;0;0;0;0;0;2;0;0;zeigen ;0;"3;1";bei keinen
;2020/09/13 12:33:34 PM OEZ;50 - 70 Jahre;Bitburg;Bitburg;0;0;27;0;0;0;0;0;2;Schauen, sehen;2;2;0;0;0;8, 9;0;2;0;0;Zeigen;3;3;bei keinen
;2020/09/12 12:24:17 PM OEZ;30 - 50 Jahre;Bitburg;Bitburg;2;0;2;0;0;0;0;3;2;gucken ;2;2 ;0;0;2;28;0;2 ;0;0;zeigen;6 ;"3;1";bei manchen
;2020/09/07 6:20:59 PM OEZ;15 - 30 Jahre;Bitburg;Bitburg;0;0;0;0;0;0;0;0;1 ;1 ;2;1 ;0;0;0;1;0; 2 ;0;0;Zeigen ;1;"3;1;2";bei vielen
;2020/09/12 12:26:54 PM OEZ;50 - 70 Jahre;Bitburg;Bitburg;0;0;5;0;0;0;0;0;0;;2;2;0;0;2;10;0;2;0;0;;3;"3;1";bei vielen
;2020/09/12 1:56:58 PM OEZ;50 - 70 Jahre;Bitburg;Bitburg;2;0;5;0;0;0;0;10;2;Gucken;2;2;2;0;2;8;0;2 ;2;0;;6;3;bei vielen
;2020/09/13 7:25:36 PM OEZ;30 - 50 Jahre;Bitburg;Bitburg;0;0;31;0;0;0;0;0;0;;2;2;0;0;0;8;0;2 ;0;0;;14 ;"3;1";bei wenigen
;2020/09/07 2:01:52 PM OEZ;50 - 70 Jahre;Bitburg;Bitburg;0;0;2;0;0;0;0;0;2;Schauen;2;2;0;0;2 ;1;0;2;0;0;Zeigen;6;3;bei wenigen
;2020/09/14 10:56:05 PM OEZ;50 - 70 Jahre;Bitburg;Bitburg;0;0;5;0;0;0;0;0;2;schauen;2;2;0;0;0;8;0;2 ;0;0;zeigen;11;3;bei wenigen
Wittlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/11 10:47:06 PM OEZ;15 - 30 Jahre;Wittlich;Bitburg;0;0;0;0;0;0;0;0;1;;2;0;0;0;0;0;0;2;0;0;;0;3;bei keinen
;2020/09/12 8:43:15 AM OEZ;30 - 50 Jahre;Wittlich;Bitburg;0;0;0;0;0;0;0;0;0;;2;1;0;0;0;1 ;0;1 ;0;0;;1;1;bei keinen
;2020/09/13 10:07:40 AM OEZ;30 - 50 Jahre;Wittlich;Bitburg;0;0;0;0;0;0;0;0;0;gucken;2;2;0;0;0;28;0;2;0;0;zeigen;6;"3;1";bei keinen
;2020/09/11 9:16:09 PM OEZ;30 - 50 Jahre;Wittlich;Bitburg;0;0;2;0;0;0;0;0;1 ;;2;2;0;0;2;1 ;0;2;0;0;zeigen ;3, 6;"3;1";bei manchen
